top - 14:11:01 up  5:51,  3 users,  load average: 2,75, 3,19, 2,90
Tasks: 180 total,   3 running, 177 sleeping,   0 stopped,   0 zombie
%Cpu(s): 49,6 us, 21,4 sy,  0,4 ni, 26,4 id,  2,0 wa,  0,0 hi,  0,2 si,  0,0 st
KiB Mem:   6073296 total,  2652104 used,  3421192 free,    91784 buffers
KiB Swap:        0 total,        0 used,        0 free.  1130988 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 3257 filip     20   0  358596  95492  52612 R  32,3  1,6  71:25.58 chromium-browse
 1291 root      20   0  321304 188624 172584 R  25,8  3,1  36:48.32 Xorg
 9508 filip     20   0  463076 196556 104556 S  25,8  3,2   7:48.57 chromium-browse
10879 filip     20   0  132372  67748  31408 S  19,4  1,1   1:03.51 testowy
 2855 filip     20   0 1081104 200300 118236 S  12,9  3,3  32:11.20 chromium-browse
 2389 filip     20   0   33532  19248  15584 S   6,5  0,3   7:09.41 xfwm4
10975 filip     20   0    6648   2628   2324 R   6,5  0,0   0:00.01 top
    1 root      20   0    4476   3680   2612 S   0,0  0,1   0:01.50 init
    2 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S   0,0  0,0   0:05.26 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kworker/0:0H
    7 root      20   0       0      0      0 S   0,0  0,0   0:25.21 rcu_sched
    8 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcu_bh
    9 root      rt   0       0      0      0 S   0,0  0,0   0:00.08 migration/0
   10 root      rt   0       0      0      0 S   0,0  0,0   0:00.08 watchdog/0
   11 root      rt   0       0      0      0 S   0,0  0,0   0:00.18 watchdog/1
   12 root      rt   0       0      0      0 S   0,0  0,0   0:00.04 migration/1
   13 root      20   0       0      0      0 S   0,0  0,0   0:04.64 ksoftirqd/1
   14 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kworker/1:0
   15 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kworker/1:0H
   16 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 khelper
   17 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kdevtmpfs
   18 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 netns
   19 root      20   0       0      0      0 S   0,0  0,0   0:00.00 khungtaskd
   20 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 writeback
   21 root      25   5       0      0      0 S   0,0  0,0   0:00.00 ksmd
   22 root      39  19       0      0      0 S   0,0  0,0   0:00.61 khugepaged
   23 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 crypto
   24 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kintegrityd
   25 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 bioset
   26 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kblockd
   27 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 ata_sff
   28 root      20   0       0      0      0 S   0,0  0,0   0:00.00 khubd
   29 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 md
   30 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 devfreq_wq
   35 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kswapd0
   36 root      20   0       0      0      0 S   0,0  0,0   0:00.00 fsnotify_mark
   37 root      20   0       0      0      0 S   0,0  0,0   0:00.00 ecryptfs-kthrea
   49 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kthrotld
   50 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 acpi_thermal_pm
   52 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 ipv6_addrconf
   72 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 deferwq
   73 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 charger_manager
  116 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kpsmoused
  131 root      20   0       0      0      0 S   0,0  0,0   0:00.00 scsi_eh_0
  132 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 scsi_tmf_0
  133 root      20   0       0      0      0 S   0,0  0,0   0:00.00 scsi_eh_1
  136 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 scsi_tmf_1
  138 root      20   0       0      0      0 S   0,0  0,0   0:00.00 scsi_eh_2
  141 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 scsi_tmf_2
